date,prophet_units,sku,neural_units,ensemble_units
2024-07-28,22.097795383321856,SKU_156,87.88647,54.99213269166093
2024-08-04,22.14265988442291,SKU_156,87.965355,55.05400744221146
2024-08-11,22.18752438552396,SKU_156,88.044136,55.115830192761976
2024-08-18,22.232388886625017,SKU_156,88.17433,55.20335944331251
2024-08-25,22.27725338772607,SKU_156,88.30445,55.29085169386303
2024-09-01,22.32211788882713,SKU_156,88.38332,55.35271894441357
2024-09-08,22.36698238992818,SKU_156,88.4621,55.414541194964094
2024-06-30,17.276892750671237,SKU_157,24.749979,21.013435875335617
2024-07-07,17.219831020869147,SKU_157,24.70596,20.962895510434574
2024-07-14,17.162769291067058,SKU_157,24.640234,20.90150164553353
2024-07-21,17.105707561264968,SKU_157,24.596212,20.850959780632486
2024-07-28,17.048645831462878,SKU_157,24.552206,20.800425915731438
2024-08-04,16.991584101660784,SKU_157,24.486465,20.739024550830393
2024-08-11,16.934522371858694,SKU_157,24.420746,20.67763418592935
2024-08-18,16.877460642056604,SKU_157,24.376719,20.627089821028303
2024-08-25,16.820398912254515,SKU_157,24.332708,20.576553456127257
2024-09-01,16.76333718245242,SKU_157,24.266973,20.515155091226212
2024-09-08,16.706275452650335,SKU_157,24.201248,20.45376172632517
2024-09-15,16.649213722848245,SKU_157,24.15722,20.40321686142412
2024-06-23,14.288127564579904,SKU_158,8.92818,11.608153782289952
2024-06-30,14.190455820618643,SKU_158,8.833115,11.511785410309322
2024-07-07,14.092784076657384,SKU_158,8.737965,11.415374538328692
2024-07-14,13.995112332696126,SKU_158,8.731621,11.363366666348064
2024-07-21,13.897440588734865,SKU_158,8.636473,11.266956794367433
2024-07-28,13.799768844773606,SKU_158,8.5412445,11.170506672386804
2024-08-04,13.702097100812344,SKU_158,8.534986,11.11854155040617
2024-08-11,13.604425356851085,SKU_158,8.528633,11.066529178425542
2024-08-18,13.506753612889822,SKU_158,8.4335,10.970126806444911
2024-08-25,13.409081868928563,SKU_158,8.338274,10.873677934464283
2024-09-01,13.311410124967304,SKU_158,8.332008,10.821709062483652
2024-09-08,13.213738381006046,SKU_158,8.3256445,10.769691440503022
2024-06-23,18.765936320469915,SKU_159,21.018764,19.892350160234958
2024-06-30,18.73859937286869,SKU_159,20.81475,19.776674686434347
2024-07-07,18.71126242526747,SKU_159,20.610752,19.661007212633734
2024-07-14,18.68392547766625,SKU_159,20.4658,19.574862738833126
2024-07-21,18.65658853006503,SKU_159,20.261799,19.459193765032516
2024-07-28,18.629251582463805,SKU_159,20.05781,19.343530791231903
2024-08-04,18.601914634862588,SKU_159,19.912846,19.25738031743129
2024-08-11,18.574577687261367,SKU_159,19.767897,19.171237343630686
2024-08-18,18.547240739660147,SKU_159,19.56389,19.055565369830074
2024-08-25,18.519903792058923,SKU_159,19.359901,18.93990239602946
2024-09-01,18.492566844457706,SKU_159,19.214937,18.853751922228852
2024-09-08,18.46522989685648,SKU_159,19.069988,18.76760894842824
2024-06-23,26.43248233023121,SKU_160,14.586625,20.509553665115604
2024-06-30,26.57612386307009,SKU_160,14.357531,20.466827431535044
2024-07-07,26.71976539590897,SKU_160,14.128465,20.424115197954485
2024-07-14,26.863406928747853,SKU_160,13.938918,20.401162464373925
2024-07-21,27.00704846158673,SKU_160,13.709852,20.358450230793366
2024-07-28,27.150689994425612,SKU_160,13.480818,20.315753997212806
