date,forecast_units,sku
2024-07-21,89.114006,SKU_130
2024-07-28,89.74078,SKU_130
2024-08-04,90.318565,SKU_130
2024-08-11,90.89632,SKU_130
2024-08-18,91.523125,SKU_130
2024-08-25,92.14991,SKU_130
2024-09-01,92.727684,SKU_130
2024-09-08,93.30542,SKU_130
2024-06-23,23.067215,SKU_131
2024-06-30,22.321285,SKU_131
2024-07-07,21.57533,SKU_131
2024-07-14,20.754135,SKU_131
2024-07-21,20.008183,SKU_131
2024-07-28,19.26221,SKU_131
2024-08-04,18.441034,SKU_131
2024-08-11,17.61984,SKU_131
2024-08-18,16.873886,SKU_131
2024-08-25,16.12791,SKU_131
2024-09-01,15.306737,SKU_131
2024-09-08,14.485541,SKU_131
2024-06-23,68.17871,SKU_132
2024-06-30,68.1767,SKU_132
2024-07-07,68.17459,SKU_132
2024-07-14,68.19753,SKU_132
2024-07-21,68.19543,SKU_132
2024-07-28,68.19324,SKU_132
2024-08-04,68.21627,SKU_132
2024-08-11,68.239204,SKU_132
2024-08-18,68.237114,SKU_132
2024-08-25,68.234924,SKU_132
2024-09-01,68.25795,SKU_132
2024-09-08,68.28087,SKU_132
2024-06-23,-21.911732,SKU_133
2024-06-30,-22.116606,SKU_133
2024-07-07,-22.32145,SKU_133
2024-07-14,-22.53097,SKU_133
2024-07-21,-22.735817,SKU_133
2024-07-28,-22.940634,SKU_133
2024-08-04,-23.150179,SKU_133
2024-08-11,-23.359694,SKU_133
2024-08-18,-23.564545,SKU_133
2024-08-25,-23.769363,SKU_133
2024-09-01,-23.978909,SKU_133
2024-09-08,-24.18842,SKU_133
2024-06-23,-39.974995,SKU_134
2024-06-30,-39.73525,SKU_134
2024-07-07,-39.49549,SKU_134
2024-07-14,-39.199974,SKU_134
2024-07-21,-38.960217,SKU_134
2024-07-28,-38.720432,SKU_134
2024-08-04,-38.42494,SKU_134
2024-08-11,-38.12943,SKU_134
2024-08-18,-37.88966,SKU_134
2024-08-25,-37.649883,SKU_134
2024-09-01,-37.354393,SKU_134
2024-09-08,-37.058876,SKU_134
2024-06-23,-46.119087,SKU_135
2024-06-30,-46.286182,SKU_135
2024-07-07,-46.453148,SKU_135
2024-07-14,-46.57948,SKU_135
2024-07-21,-46.74646,SKU_135
2024-07-28,-46.913326,SKU_135
2024-08-04,-47.039776,SKU_135
2024-08-11,-47.166092,SKU_135
2024-08-18,-47.33309,SKU_135
2024-08-25,-47.49996,SKU_135
2024-09-01,-47.6264,SKU_135
2024-09-08,-47.752705,SKU_135
2024-06-23,-31.779316,SKU_136
2024-06-30,-32.30068,SKU_136
2024-07-07,-32.821964,SKU_136
2024-07-14,-33.29705,SKU_136
2024-07-21,-33.818344,SKU_136
2024-07-28,-34.339554,SKU_136
2024-08-04,-34.81472,SKU_136
2024-08-11,-35.289795,SKU_136
2024-08-18,-35.811096,SKU_136
2024-08-25,-36.332325,SKU_136
2024-09-01,-36.80748,SKU_136
2024-09-08,-37.282547,SKU_136
2024-06-30,12.976122,SKU_137
2024-07-07,12.865455,SKU_137
2024-07-14,12.753595,SKU_137
2024-07-21,12.642937,SKU_137
2024-07-28,12.532182,SKU_137
2024-08-04,12.420414,SKU_137
2024-08-11,12.308542,SKU_137
2024-08-18,12.197893,SKU_137
2024-08-25,12.087146,SKU_137
2024-09-01,11.975367,SKU_137
2024-09-08,11.863485,SKU_137
2024-09-15,11.752848,SKU_137
2024-06-23,77.495674,SKU_138
2024-06-30,76.51571,SKU_138
2024-07-07,75.53577,SKU_138
2024-07-14,74.59663,SKU_138
2024-07-21,73.61667,SKU_138
2024-07-28,72.63674,SKU_138
2024-08-04,71.697586,SKU_138
2024-08-11,70.758446,SKU_138
2024-08-18,69.77849,SKU_138
2024-08-25,68.79855,SKU_138
2024-09-01,67.859406,SKU_138
2024-09-08,66.920265,SKU_138
2024-06-23,15.828544,SKU_139
2024-06-30,16.247845,SKU_139
2024-07-07,16.667147,SKU_139
2024-07-14,17.046421,SKU_139
2024-07-21,17.46572,SKU_139
2024-07-28,17.885014,SKU_139
2024-08-04,18.264292,SKU_139
2024-08-11,18.643562,SKU_139
2024-08-18,19.062862,SKU_139
2024-08-25,19.482162,SKU_139
2024-09-01,19.861439,SKU_139
2024-09-08,20.240711,SKU_139
2024-06-16,73.18879,SKU_140
2024-06-23,72.82667,SKU_140
2024-06-30,72.446686,SKU_140
2024-07-07,72.06668,SKU_140
2024-07-14,71.69561,SKU_140
2024-07-21,71.315605,SKU_140
2024-07-28,70.93557,SKU_140
2024-08-04,70.56453,SKU_140
2024-08-11,70.19344,SKU_140
2024-08-18,69.813446,SKU_140
2024-08-25,69.43341,SKU_140
2024-09-01,69.06237,SKU_140
2024-06-23,18.308695,SKU_141
2024-06-30,18.035938,SKU_141
2024-07-07,17.763124,SKU_141
2024-07-14,17.615648,SKU_141
